Timeline,Start time,Duration,Row,Instance number,01 - Location third,02 - Location flank,03 - End location third,04 - End location flank,05 - Length,06 - Number of team events,07 - Outcome,08 - Transition,09 - xG,10 - Players,11 - Start location X,12 - Start location Y,13 - Duration,14 - Formation,15 - End location X,16 - End location Y,Ungrouped,Notes,Flags
FCSB-Csikszereda,365.334111,53.60817651599427,Negative transitions,1,Own third,Left flank,Final third,Left flank,Long,10-14,,Low,,"33. Radunović, 17. Popescu, 2. Crețu, 5. Dawa, 37. Popescu",28,19,30,4-1-4-1,27,59,,,
FCSB-Csikszereda,901.6122890000001,10.047125896237048,Negative transitions,2,Own third,Center,Final third,Left flank,Short,4 or less,,Low,,"17. Popescu, 27. Olaru, 37. Popescu",33,27,6,4-1-4-1,28,52,,,
FCSB-Csikszereda,1071.80963,11.957879000000048,Negative transitions,3,Own third,Left flank,Middle third,Left flank,Medium,4 or less,,Medium,,"33. Radunović, 37. Popescu, 17. Popescu",35,16,12,4-1-4-1,54,60,,,
FCSB-Csikszereda,1086.364743,13.57088474398688,Negative transitions,4,Middle third,Left flank,Middle third,Center,Short,4 or less,,Medium,,"27. Olaru, 18. João Paulo, 10. Tănase",43,16,4,4-1-4-1,63,39,,,
FCSB-Csikszereda,1568.230536831744,18.84602798780702,Negative transitions,5,Own third,Right flank,Middle third,Center,Medium,5-9,,Low,,"2. Crețu, 18. João Paulo, 31. Cisotti, 27. Olaru, 33. Radunović",32,61,12,4-1-4-1,57,36,,,
FCSB-Csikszereda,1773.193264,9.735149999999976,Negative transitions,6,Middle third,Left flank,Final third,Left flank,Short,5-9,,Medium,,"37. Popescu, 27. Olaru, 10. Tănase, 11. Miculescu",65,7,10,4-1-4-1,33,49,,,
FCSB-Csikszereda,1810.1594840000002,6.408175332870769,Negative transitions,7,Middle third,Left flank,Middle third,Center,Short,4 or less,,Medium,,18. João Paulo,43,19,2,4-1-4-1,44,35,,,
FCSB-Csikszereda,2104.106282,20.23821999999973,Negative transitions,8,Middle third,Left flank,Final third,Right flank,Medium,5-9,,Medium,,"33. Radunović, 37. Popescu, 10. Tănase, 2. Crețu, 27. Olaru, 31. Cisotti",46,14,20,4-1-4-1,17,16,,,
FCSB-Csikszereda,2127.916467,5.643060999999761,Negative transitions,9,Middle third,Right flank,Final third,Right flank,Short,4 or less,,Medium,,"5. Dawa, 10. Tănase",61,51,5,4-1-4-1,33,9,,,
FCSB-Csikszereda,2134.446066,28.389053577402592,Negative transitions,10,Middle third,Right flank,Final third,Left flank,Medium,5-9,,Medium,,"5. Dawa, 10. Tănase, 37. Popescu, 11. Miculescu, 27. Olaru",58,52,17,4-1-4-1,14,47,,,
FCSB-Csikszereda,2793.2588949641245,7.653591188446171,Negative transitions,11,Own third,Center,Middle third,Left flank,Short,4 or less,,,,5. Dawa,23,39,2,4-1-4-1,44,54,,,
FCSB-Csikszereda,2923.436112,5.865155261719337,Negative transitions,12,Middle third,Center,Middle third,Left flank,Short,4 or less,,Medium,,2. Crețu,62,42,2,4-1-4-1,37,65,,,
FCSB-Csikszereda,3104.825511,18.688883203124988,Negative transitions,13,Middle third,Right flank,Final third,Right flank,Medium,5-9,,Medium,,"5. Dawa, 17. Popescu, 31. Cisotti, 10. Tănase, 27. Olaru",56,50,15,4-1-4-1,24,18,,,
FCSB-Csikszereda,3123.1552680000004,12.183131471924298,Negative transitions,14,Middle third,Right flank,Final third,Center,Short,4 or less,,Medium,,31. Cisotti,67,48,7,4-1-4-1,25,23,,,
FCSB-Csikszereda,3293.165684,2.9792050000000927,Negative transitions,15,Own third,Center,Middle third,Right flank,Short,4 or less,,Low,,"17. Popescu, 10. Tănase",28,27,2,4-1-4-1,57,18,,,
FCSB-Csikszereda,3296.788043,1.5576390000001084,Negative transitions,16,Middle third,Center,Middle third,Center,Short,4 or less,,,,10. Tănase,39,40,1,4-1-4-1,61,26,,,
FCSB-Csikszereda,3658.106407,5.899823999999626,Negative transitions,17,Middle third,Left flank,Final third,Left flank,Short,4 or less,,Medium,,"27. Olaru, 37. Popescu",63,5,5,4-1-4-1,34,48,,,
FCSB-Csikszereda,3664.039146,23.964000824059895,Negative transitions,18,Middle third,Left flank,Final third,Center,Medium,5-9,,Medium,,"37. Popescu, 11. Miculescu, 10. Tănase, 31. Cisotti, 2. Crețu",68,14,19,4-1-4-1,17,24,,,
FCSB-Csikszereda,3979.354271,3.6595662647710014,Negative transitions,19,Own third,Center,Own third,Center,Short,4 or less,,Low,,17. Popescu,27,31,1,4-1-4-1,71,33,,,
