Timeline,Start time,Duration,Row,Instance number,01 - Location third,02 - Location flank,03 - End location third,04 - End location flank,05 - Length,06 - Number of team events,07 - Outcome,08 - Transition,09 - xG,10 - Players,11 - Start location X,12 - Start location Y,13 - Duration,14 - Formation,15 - End location X,16 - End location Y,Ungrouped,Notes,Flags
FCSB-Slobozia,10.889997,27.665355999999996,Negative transitions,1,Middle third,Right flank,Middle third,Right flank,Long,10-14,,Medium,,"5. Dawa, 18. João Paulo, 17. Popescu, 33. Radunović, 2. Crețu, 31. Cisotti, 11. Miculescu",38,50,27,4-2-3-1,49,17,,,
FCSB-Slobozia,679.379,28.168831146543084,Negative transitions,2,Middle third,Right flank,Final third,Left flank,Medium,5-9,,Medium,,"5. Dawa, 17. Popescu, 33. Radunović, 18. João Paulo, 37. Popescu",58,52,18,4-2-3-1,35,52,,,
FCSB-Slobozia,698.161,2.649428000000057,Negative transitions,3,Middle third,Left flank,Final third,Center,Short,4 or less,,Medium,,37. Popescu,61,14,1,4-2-3-1,28,39,,,
FCSB-Slobozia,763.684,1.4923630000000685,Negative transitions,4,Final third,Left flank,Middle third,Left flank,Short,4 or less,,High,,33. Radunović,74,11,1,4-2-3-1,36,54,,,
FCSB-Slobozia,766.149,7.422098024455181,Negative transitions,5,Middle third,Center,Middle third,Left flank,Short,4 or less,,Medium,,"10. Tănase, 5. Dawa, 17. Popescu",68,24,2,4-2-3-1,41,57,,,
FCSB-Slobozia,1132.4619710000002,7.568320263349278,Negative transitions,6,Middle third,Center,Middle third,Left flank,Short,4 or less,,Medium,,5. Dawa,39,28,1,4-2-3-1,57,46,,,
FCSB-Slobozia,1319.7859080000003,4.144537283203135,Negative transitions,7,Own third,Center,Middle third,Center,Short,4 or less,,Low,,"18. João Paulo, 10. Tănase, 31. Cisotti",21,39,2,4-2-3-1,66,29,,,
FCSB-Slobozia,1780.663989,26.277072727359382,Negative transitions,8,Own third,Right flank,Middle third,Right flank,Long,5-9,,Low,,"13. Popa, 17. Popescu, 5. Dawa, 2. Crețu",11,61,22,4-2-3-1,59,5,,,
FCSB-Slobozia,1884.705841,10.448390115872371,Negative transitions,9,Middle third,Right flank,Final third,Right flank,Short,4 or less,,,,2. Crețu,67,68,1,4-2-3-1,34,14,,,
FCSB-Slobozia,2282.8839609999995,15.960076146140182,Negative transitions,10,Own third,Left flank,Middle third,Center,Short,4 or less,,Low,,"33. Radunović, 10. Tănase, 18. João Paulo",32,14,6,4-2-3-1,40,25,,,
FCSB-Slobozia,2510.676,36.35224730973505,Negative transitions,11,Middle third,Right flank,Final third,Right flank,Long,5-9,,Medium,,"18. João Paulo, 2. Crețu, 5. Dawa, 17. Popescu, 31. Cisotti",42,52,24,4-2-3-1,13,11,,,
FCSB-Slobozia,3073.5667000422663,9.657679512461073,Negative transitions,12,Middle third,Right flank,Middle third,Right flank,Short,4 or less,,Medium,,"5. Dawa, 2. Crețu",50,65,1,4-2-3-1,64,16,,,
FCSB-Slobozia,3612.765968,34.40962399367754,Negative transitions,13,Own third,Right flank,Final third,Left flank,Medium,5-9,,Low,,"5. Dawa, 42. Baba Alhassan, 27. Olaru, 10. Tănase",13,60,18,4-2-3-1,13,52,,,
FCSB-Slobozia,3657.932955,27.34452373460499,Negative transitions,14,Own third,Center,Middle third,Right flank,Long,5-9,,,,"32. Târnovanu, 3. André Duarte, 5. Dawa, 2. Crețu, 18. João Paulo",0,34,22,4-2-3-1,60,22,,,
FCSB-Slobozia,3685.506954,26.746306252972317,Negative transitions,15,Own third,Center,Final third,Right flank,Medium,5-9,,Medium,,"5. Dawa, 42. Baba Alhassan, 27. Olaru",35,44,12,4-2-3-1,32,20,,,
FCSB-Slobozia,3808.039925,22.745188379847605,Negative transitions,16,Middle third,Left flank,Final third,Left flank,Short,4 or less,,Medium,,"3. André Duarte, 10. Tănase, 27. Olaru",45,21,9,4-2-3-1,35,56,,,
FCSB-Slobozia,3829.810923,4.5529459999997925,Negative transitions,17,Own third,Center,Own third,Center,Short,4 or less,,,,"2. Crețu, 32. Târnovanu",13,41,3,4-2-3-1,105,24,,,
FCSB-Slobozia,4571.831,44.2522636065778,Negative transitions,18,Own third,Right flank,Final third,Center,Long,10-14,,Low,,"2. Crețu, 5. Dawa, 11. Miculescu, 10. Tănase, 18. João Paulo, 42. Baba Alhassan, 3. André Duarte, 90. Stoian",26,57,30,4-2-3-1,26,26,,,
FCSB-Slobozia,4611.184,50.044320766000055,Negative transitions,19,Middle third,Right flank,Final third,Left flank,Long,10-14,,Medium,,"42. Baba Alhassan, 32. Târnovanu, 33. Radunović, 10. Tănase, 27. Olaru, 90. Stoian",43,58,27,4-2-3-1,25,52,,,
FCSB-Slobozia,4659.541,7.81014899999991,Negative transitions,20,Own third,Center,Middle third,Right flank,Short,4 or less,,,,"32. Târnovanu, 3. André Duarte",3,32,4,4-2-3-1,62,16,,,
FCSB-Slobozia,5311.041,21.26556647839425,Negative transitions,21,Own third,Center,Middle third,Center,Medium,5-9,,Low,,"5. Dawa, 3. André Duarte, 32. Târnovanu, 2. Crețu, 11. Miculescu",34,44,17,4-2-3-1,42,33,,,
FCSB-Slobozia,5565.941927667969,10.373407381761353,Negative transitions,22,Own third,Center,Middle third,Right flank,Short,4 or less,,Low,,42. Baba Alhassan,34,44,3,4-2-3-1,67,18,,,
FCSB-Slobozia,5581.345,11.03609299999971,Negative transitions,23,Own third,Right flank,Middle third,Right flank,Medium,5-9,,,,"5. Dawa, 18. João Paulo, 2. Crețu, 90. Stoian, 27. Olaru",26,46,11,4-2-3-1,62,5,,,
FCSB-Slobozia,5853.264,53.263646637456986,Negative transitions,24,Middle third,Right flank,Final third,Left flank,Long,15 or more,,Medium,,"18. João Paulo, 5. Dawa, 42. Baba Alhassan, 3. André Duarte, 33. Radunović, 10. Tănase, 27. Olaru, 2. Crețu",48,46,43,4-2-3-1,15,47,,,
FCSB-Slobozia,52.045993,16.135760999999995,FCS Bucureşti - Crosses,1,Middle third,Left flank,Final third,Right flank,Medium,5-9,,Medium,,"33. Radunović, 37. Popescu, 10. Tănase, 31. Cisotti, 2. Crețu",39,4,16,4-2-3-1,15,21,,,
FCSB-Slobozia,174.280995,13.38550600000002,FCS Bucureşti - Crosses,2,Middle third,Left flank,Final third,Left flank,Medium,5-9,,,,"33. Radunović, 2. Crețu",67,21,11,4-2-3-1,0,48,,,
FCSB-Slobozia,559.63,4.759672000000023,FCS Bucureşti - Crosses,3,Middle third,Center,Final third,Center,Short,4 or less,,,,"5. Dawa, 2. Crețu",59,43,4,4-2-3-1,3,30,,,
FCSB-Slobozia,703.961,25.25095399999998,FCS Bucureşti - Crosses,4,Middle third,Left flank,Final third,Left flank,Long,5-9,,Medium,,"17. Popescu, 18. João Paulo, 5. Dawa, 33. Radunović, 27. Olaru",46,22,25,4-2-3-1,4,57,,,
FCSB-Slobozia,823.211,7.296715999999947,FCS Bucureşti - Crosses,5,Middle third,Center,Final third,Center,Short,4 or less,,Medium,,"10. Tănase, 2. Crețu, 11. Miculescu",56,35,7,4-2-3-1,2,36,,,
FCSB-Slobozia,966.461,17.908510999999976,FCS Bucureşti - Crosses,6,Final third,Left flank,Final third,Center,Medium,5-9,Shot,,less than 0.1,"37. Popescu, 27. Olaru, 10. Tănase, 17. Popescu",105,0,13,4-2-3-1,0,34,,,
FCSB-Slobozia,1043.192988,12.932276000000002,FCS Bucureşti - Crosses,7,Middle third,Right flank,Final third,Center,Medium,4 or less,,,,"2. Crețu, 10. Tănase, 31. Cisotti",68,68,11,4-2-3-1,14,35,,,
