Timeline,Start time,Duration,Row,Instance number,Away OpenPlay,Away Standards,Corner,Final Third,Free Kick,Goal Kick,Home OpenPlay,Home Standards,Players,Quality,Shot,Time,X,Y,ZONE,Ungrouped,Notes,Flags
Norge - Tyrkia - Angle 1,154.628958079,1.0,ROMANIA U16   HEATMAP:  HOME GAME,1,,,,,,,Positional,,,,,,25,58,,,,
Norge - Tyrkia - Angle 1,194.316470349,1.0,ROMANIA U16   HEATMAP:  HOME GAME,2,,,,,,,Transition,,,,,,37,50,,,,
Norge - Tyrkia - Angle 1,221.756674566,1.0,ROMANIA U16   HEATMAP:  HOME GAME,3,,,,,,,Transition,,,,,,65,52,,,,
Norge - Tyrkia - Angle 1,241.199110533,1.0,ROMANIA U16   HEATMAP:  HOME GAME,4,,,,,,,Transition,,,,,,38,10,,,,
Norge - Tyrkia - Angle 1,396.326196782,1.0,ROMANIA U16   HEATMAP:  HOME GAME,5,,,,,,,Transition,,,,,,33,10,,,,
Norge - Tyrkia - Angle 1,464.090633958,1.0,ROMANIA U16   HEATMAP:  HOME GAME,6,,,,,,,Positional,,,,,,80,8,,,,
Norge - Tyrkia - Angle 1,547.854037198,1.0,ROMANIA U16   HEATMAP:  HOME GAME,7,,,,,,,Transition,,,,,,80,59,,,,
Norge - Tyrkia - Angle 1,585.374882572,1.0,ROMANIA U16   HEATMAP:  HOME GAME,8,,,,,,,Positional,,,,,,76,34,,,,
Norge - Tyrkia - Angle 1,629.872923247,1.0,ROMANIA U16   HEATMAP:  HOME GAME,9,,,,,,,Positional,,,,,,89,61,,,,
Norge - Tyrkia - Angle 1,680.176945418,1.0,ROMANIA U16   HEATMAP:  HOME GAME,10,,,,,,,Transition,,,,,,64,44,,,,
Norge - Tyrkia - Angle 1,781.007462103,1.0,ROMANIA U16   HEATMAP:  HOME GAME,11,,,,,,,Transition,,,,,,29,8,,,,
Norge - Tyrkia - Angle 1,853.814831058,1.0,ROMANIA U16   HEATMAP:  HOME GAME,12,,,,,,,Positional,,,,,,78,53,,,,
Norge - Tyrkia - Angle 1,1080.241426845,1.0,ROMANIA U16   HEATMAP:  HOME GAME,13,,,,,,,Transition,,,,,,81,58,,,,
