Timeline;Start time;Duration;Row;Instance number;Away OpenPlay;Away Standards;Corner;Final Third;Free Kick;Goal Kick;Home OpenPlay;Home Standards;Players;Quality;Shot;Time;X;Y;ZONE;Ungrouped;Notes;Flags
Morocco-U16-vs-Turkey-U16-1080p;883.4970848036655;1.0;ROMANIA U16   HEATMAP:  HOME GAME;1;;;;;;;Transition;;;;;;66;8;;;;
Morocco-U16-vs-Turkey-U16-1080p;936.7977438973337;1.0;ROMANIA U16   HEATMAP:  HOME GAME;2;;;;;;;Positional;;;;;;85;8;;;;
Morocco-U16-vs-Turkey-U16-1080p;958.154522164;1.0;ROMANIA U16   HEATMAP:  HOME GAME;3;;;;;;;Transition;;;;;;73;59;;;;
Morocco-U16-vs-Turkey-U16-1080p;1004.549450906;1.0;ROMANIA U16   HEATMAP:  HOME GAME;4;;;;;;;Positional;;;;;;65;62;;;;
Morocco-U16-vs-Turkey-U16-1080p;1057.770019232;1.0;ROMANIA U16   HEATMAP:  HOME GAME;5;;;;;;;Positional;;;;;;73;8;;;;
Morocco-U16-vs-Turkey-U16-1080p;1106.537636938;1.0;ROMANIA U16   HEATMAP:  HOME GAME;6;;;;;;;Positional;;;;;;89;8;;;;
Morocco-U16-vs-Turkey-U16-1080p;1283.475842188;1.0;ROMANIA U16   HEATMAP:  HOME GAME;7;;;;;;;Transition;;;;;;64;34;;;;
Morocco-U16-vs-Turkey-U16-1080p;1408.83217929;1.0;ROMANIA U16   HEATMAP:  HOME GAME;8;;;;;;;Positional;;;;;;78;57;;;;
Morocco-U16-vs-Turkey-U16-1080p;1503.772195826;1.0;ROMANIA U16   HEATMAP:  HOME GAME;9;;;;;;;Positional;;;;;;64;53;;;;
Morocco-U16-vs-Turkey-U16-1080p;1706.884390686;1.0;ROMANIA U16   HEATMAP:  HOME GAME;10;;;;;;;Transition;;;;;;69;31;;;;
Morocco-U16-vs-Turkey-U16-1080p;1824.687850566;1.0;ROMANIA U16   HEATMAP:  HOME GAME;11;;;;;;;Positional;;;;;;77;11;;;;
Morocco-U16-vs-Turkey-U16-1080p;1911.761608564;1.0;ROMANIA U16   HEATMAP:  HOME GAME;12;;;;;;;Positional;;;;;;52;18;;;;
Morocco-U16-vs-Turkey-U16-1080p;2148.961853066;1.0;ROMANIA U16   HEATMAP:  HOME GAME;13;;;;;;;Transition;;;;;;55;17;;;;
Morocco-U16-vs-Turkey-U16-1080p;2196.581791711;1.0;ROMANIA U16   HEATMAP:  HOME GAME;14;;;;;;;Positional;;;;;;92;8;;;;
Morocco-U16-vs-Turkey-U16-1080p;2390.379107085;1.0;ROMANIA U16   HEATMAP:  HOME GAME;15;;;;;;;Positional;;;;;;72;39;;;;
Morocco-U16-vs-Turkey-U16-1080p;2570.788394785;1.0;ROMANIA U16   HEATMAP:  HOME GAME;16;;;;;;;Transition;;;;;;69;11;;;;
Morocco-U16-vs-Turkey-U16-1080p;2671.34210787;1.0;ROMANIA U16   HEATMAP:  HOME GAME;17;;;;;;;Positional;;;;;;79;7;;;;
Morocco-U16-vs-Turkey-U16-1080p;2808.812110318;1.0;ROMANIA U16   HEATMAP:  HOME GAME;18;;;;;;;Transition;;;;;;81;22;;;;
Morocco-U16-vs-Turkey-U16-1080p;2875.962829658;1.0;ROMANIA U16   HEATMAP:  HOME GAME;19;;;;;;;Positional;;;;;;79;58;;;;
Morocco-U16-vs-Turkey-U16-1080p;3115.313171033;1.0;ROMANIA U16   HEATMAP:  HOME GAME;20;;;;;;;Positional;;;;;;82;51;;;;
Morocco-U16-vs-Turkey-U16-1080p;3245.981636011;1.0;ROMANIA U16   HEATMAP:  HOME GAME;21;;;;;;;Positional;;;;;;82;11;;;;
Morocco-U16-vs-Turkey-U16-1080p;3273.876014111;1.0;ROMANIA U16   HEATMAP:  HOME GAME;22;;;;;;;Positional;;;;;;87;12;;;;
Morocco-U16-vs-Turkey-U16-1080p;3355.089183005;1.0;ROMANIA U16   HEATMAP:  HOME GAME;23;;;;;;;Positional;;;;;;75;13;;;;
Morocco-U16-vs-Turkey-U16-1080p;3470.657583447;1.0;ROMANIA U16   HEATMAP:  HOME GAME;24;;;;;;;Transition;;;;;;72;48;;;;
Morocco-U16-vs-Turkey-U16-1080p;4728.816510456;1.0;ROMANIA U16   HEATMAP:  HOME GAME;25;;;;;;;Positional;;;;;;77;12;;;;
Morocco-U16-vs-Turkey-U16-1080p;4826.484557255;1.0;ROMANIA U16   HEATMAP:  HOME GAME;26;;;;;;;Positional;;;;;;76;62;;;;
Morocco-U16-vs-Turkey-U16-1080p;4926.706349206349;1.0;ROMANIA U16   HEATMAP:  HOME GAME;27;;;;;;;Positional;;;;;;91;9;;;;
Morocco-U16-vs-Turkey-U16-1080p;5007.105469812;1.0;ROMANIA U16   HEATMAP:  HOME GAME;28;;;;;;;Positional;;;;;;72;21;;;;
Morocco-U16-vs-Turkey-U16-1080p;5313.398458036;1.0;ROMANIA U16   HEATMAP:  HOME GAME;29;;;;;;;Positional;;;;;;80;50;;;;
Morocco-U16-vs-Turkey-U16-1080p;5330.001671354;1.0;ROMANIA U16   HEATMAP:  HOME GAME;30;;;;;;;Positional;;;;;;91;62;;;;
Morocco-U16-vs-Turkey-U16-1080p;5557.305930105;1.0;ROMANIA U16   HEATMAP:  HOME GAME;31;;;;;;;Positional;;;;;;86;60;;;;
Morocco-U16-vs-Turkey-U16-1080p;5695.357955954;1.0;ROMANIA U16   HEATMAP:  HOME GAME;32;;;;;;;Positional;;;;;;73;33;;;;
Morocco-U16-vs-Turkey-U16-1080p;6068.173699196;1.0;ROMANIA U16   HEATMAP:  HOME GAME;33;;;;;;;Positional;;;;;;86;48;;;;
Morocco-U16-vs-Turkey-U16-1080p;6155.132471655329;1.0;ROMANIA U16   HEATMAP:  HOME GAME;34;;;;;;;Positional;;;;;;88;9;;;;
Morocco-U16-vs-Turkey-U16-1080p;6197.988731158;1.0;ROMANIA U16   HEATMAP:  HOME GAME;35;;;;;;;Positional;;;;;;79;48;;;;
Morocco-U16-vs-Turkey-U16-1080p;6259.493712707;1.0;ROMANIA U16   HEATMAP:  HOME GAME;36;;;;;;;Positional;;;;;;91;9;;;;
Morocco-U16-vs-Turkey-U16-1080p;6380.466535854;1.0;ROMANIA U16   HEATMAP:  HOME GAME;37;;;;;;;Transition;;;;;;50;45;;;;
Morocco-U16-vs-Turkey-U16-1080p;6486.514091258;1.0;ROMANIA U16   HEATMAP:  HOME GAME;38;;;;;;;Positional;;;;;;88;12;;;;
Morocco-U16-vs-Turkey-U16-1080p;6746.55954934;1.0;ROMANIA U16   HEATMAP:  HOME GAME;39;;;;;;;Positional;;;;;;92;60;;;;
Morocco-U16-vs-Turkey-U16-1080p;7174.867393236;1.0;ROMANIA U16   HEATMAP:  HOME GAME;40;;;;;;;Positional;;;;;;85;60;;;;
Morocco-U16-vs-Turkey-U16-1080p;7286.578050176;1.0;ROMANIA U16   HEATMAP:  HOME GAME;41;;;;;;;Positional;;;;;;83;10;;;;
